"Author","Title","Category"
"Saleh","Challenges of the Internet of Things: Technique, U","Computer Science  & Information Technology"
"Batton-Hubert","Geographical Data Imperfection 1: From Theory to A","Computer Science  & Information Technology"
"Dinet","Information Retrieval in Digital Environments 2nd ","Computer Science  & Information Technology"
"Kosseff","Cybersecurity Law, Second Edition","Computer Science  & Information Technology"
"Shetty","Blockchain for Distributed Systems Security","Computer Science  & Information Technology"
"Le","Cyber Security in Parallel and Distributed Computi","Computer Science  & Information Technology"
"Letouz?","The Political Economy of Big Data: Data","Computer Science  & Information Technology"
"Boulanger","Safety of Software-based Systems","Computer Science  & Information Technology"
"Carr?","Hyperconnectivity: Economical, Social and Environm","Computer Science  & Information Technology"
"Miranda","Art and Science of Big Data","Computer Science  & Information Technology"
"Cyganek","Introduction to Programming with C and C++ for Eng","Computer Science  & Information Technology"
"Ghosh","Cognitive Computer Vision","Computer Science  & Information Technology"
"Tran","Advanced Cyber Security: Using Intelligence Driven","Computer Science  & Information Technology"
"Ottenheimer","The Realities of Securing Big Data","Computer Science  & Information Technology"
"Wilson","Cloud-Centric Cybersecurity and Critical Infrastru","Computer Science  & Information Technology"
"Boulanger","SCADE / Language and Applications","Computer Science  & Information Technology"
"Alban","Information Systems Management: Governance and Urb","Computer Science  & Information Technology"
"Boulanger","Data Validation","Computer Science  & Information Technology"
"Van Le","Virtual Reality and Augmnented Reality Healthcarea","Computer Science  & Information Technology"
"Stefanakis","Constructed Wetlands for Industrial Wastewater Tre","Earth, Space & Environmental Sciences"
"Ware","Early Triassic Ammonites from Western Himalaya (WO","Earth, Space & Environmental Sciences"
"Abbasov","Exploration and Monitoring of the Underwater Envir","Earth, Space & Environmental Sciences"
"Iglesias","Drought: Science and Policy","Earth, Space & Environmental Sciences"
"Sanni","Petroleum Engineering: Principles, Calculations an","Earth, Space & Environmental Sciences"
"Charlesworth","Urban Pollution: Science and Management","Earth, Space & Environmental Sciences"
"Vialle","Geological Carbon Storage: Subsurface Seals and Ca","Earth, Space & Environmental Sciences"
"Selendy","Water and Sanitation Related Diseases and the Chan","Earth, Space & Environmental Sciences"
"Sial","Chemostratigraphy Across Major Chronological Bound","Earth, Space & Environmental Sciences"
"Hoenisch","Boron Proxies in Paleoceanography and Paleoclimato","Earth, Space & Environmental Sciences"
"Seo","Natural and Man-Made Catastrophes - Theories, Econ","Earth, Space & Environmental Sciences"
"Livingstone","Aeolian Geomorphology: A new introduction","Earth, Space & Environmental Sciences"
"Monaco","T6-2 FR","Earth, Space & Environmental Sciences"
"Monaco","T7-2 FR","Earth, Space & Environmental Sciences"
"Monaco","Governance of Seas and Oceans","Earth, Space & Environmental Sciences"
"Yuan","Lithospheric Discontinuities","Earth, Space & Environmental Sciences"
"Ghinassi","Fluvial meanders and their sedimentary products in","Earth, Space & Environmental Sciences"
"Deeming","Framing Community Resilience","Earth, Space & Environmental Sciences"
"Galina","Salt Systems of the Earth","Earth, Space & Environmental Sciences"
"Datta","Water Harvesting for Groundwater Management - Issu","Earth, Space & Environmental Sciences"
"Pukite","Mathematical Geoenergy: Discovery, Depletion and R","Earth, Space & Environmental Sciences"
"Ren","Rhythms of Insect Evolution: Evidence from the Jur","Earth, Space & Environmental Sciences"
"Davis","Beaches and Coasts 2e","Earth, Space & Environmental Sciences"
"Drizo","Phosphorus Pollution Mitigation Strategies for Eut","Earth, Space & Environmental Sciences"
"Mulligan","Introduction to Environmental Modelling","Earth, Space & Environmental Sciences"
"Taylor","Bryozoan Paleobiology","Earth, Space & Environmental Sciences"
"Mander","Advanced Imaging of Spores and Pollen","Earth, Space & Environmental Sciences"
"Traver","Green Stormwater Infrastructure Fundamentals and D","Earth, Space & Environmental Sciences"
"Davies","Engineering Geomorphology for the Sustainable Mana","Earth, Space & Environmental Sciences"
"Gupta","Large Rivers: Geomorphology and Management, Second","Earth, Space & Environmental Sciences"
"Chhetri","Reversing Global Warming: Engineering Theories and","Earth, Space & Environmental Sciences"
"Waller","Glacier-Permafrost Interactions","Earth, Space & Environmental Sciences"
"Grobbe","Seismoelectric exploration: Theory, experiments an","Earth, Space & Environmental Sciences"
"Demarchi","Amino acids in biominerals","Earth, Space & Environmental Sciences"
"Konhauser","Introduction to Geomicrobiology","Earth, Space & Environmental Sciences"
"Meju","Integrated Geophysical Exploration Models and Tech","Earth, Space & Environmental Sciences"
"Srivastava","Techniques for Disaster Risk Management and Mitiga","Earth, Space & Environmental Sciences"
"Gannon","Geomagnetically Induced Currents from the Sun to t","Earth, Space & Environmental Sciences"
"Ni","The Science and Technology of Air Pollution from A","Earth, Space & Environmental Sciences"
"Brandherm","Prehistoric Mining","Earth, Space & Environmental Sciences"
"McCarthy","Microfossils and their Practical Applications","Earth, Space & Environmental Sciences"
"Gippel","Stream Hydrology","Earth, Space & Environmental Sciences"
"Sain","Meta-Attributes in Seismic Interpretation: Theorya","Earth, Space & Environmental Sciences"
"van Kranendonk","The Evolving Earth","Earth, Space & Environmental Sciences"
"McGowan","Paleobiology of Ammonoids and their Relatives","Earth, Space & Environmental Sciences"
"Manning","Carbon in Earths Interior","Earth, Space & Environmental Sciences"
"Ernst","Environmental Change and Large Igneous Provinces: ","Earth, Space & Environmental Sciences"
"Huang","Big Data Analytics in Earth, Atmospheric and Ocean","Earth, Space & Environmental Sciences"
"Salem","Physics of the Solar Corona and Inner Heliosphere","Earth, Space & Environmental Sciences"
"Dadson","Water Science Policy and Management: A Global Chal","Earth, Space & Environmental Sciences"
"Perdigao","Nonlinear Dynamics, Analytics and Predictability o","Earth, Space & Environmental Sciences"
"Kavvada","Earth Observation Applications and Global Policy F","Earth, Space & Environmental Sciences"
"Dayal","Alternative and Unconventional Energy Sources","Earth, Space & Environmental Sciences"
"Hu","Recovery from Mass Extinction: Exceptional Fossils","Earth, Space & Environmental Sciences"
"Zimmerman","Fluid Flow in Fractured Rocks","Earth, Space & Environmental Sciences"
"Fusseis","A Basic Guide to X-ray Tomography in the Earth Sci","Earth, Space & Environmental Sciences"
"Edwards","Global Impacts of Military Munitions Disposed at S","Earth, Space & Environmental Sciences"
"Nagai","Kuroshio Current: Physical, Biogeochemical and Eco","Earth, Space & Environmental Sciences"
"Vetere","Dynamic Magma Evolution","Earth, Space & Environmental Sciences"
"Li","Distributed Acoustic Sensing in Geophysics: Method","Earth, Space & Environmental Sciences"
"Wu","Global Drought and Flood: Monitoring, Prediction,a","Earth, Space & Environmental Sciences"
"Ferre","Magnetic anisotropy of minerals and rocks","Earth, Space & Environmental Sciences"
"Liu","Fast Physics in Large Scale Atmospheric Models: Pa","Earth, Space & Environmental Sciences"
"Ofman","Solar and Heliospheric Plasma Structures: Waves, T","Earth, Space & Environmental Sciences"
"Sinha","Engineering Physics of High Temperature Materials:","Earth, Space & Environmental Sciences"
"Dey","Fundamental Concepts in Geomatics","Earth, Space & Environmental Sciences"
"Malone","Coastal Ecosystems: Evolution and Comparative Anal","Earth, Space & Environmental Sciences"
"Zong","Dayside Magnetosphere Interactions","Earth, Space & Environmental Sciences"
"Blume","Soil Protection Handbook - Soil Ecology, Stress Fa","Earth, Space & Environmental Sciences"
"Castillo","Extreme Events and Climate Change: A Mulstidiscipl","Earth, Space & Environmental Sciences"
"Gaci","Novel Methods in Geophysical Exploration and Geolo","Earth, Space & Environmental Sciences"
"Jovanelly","Iceland: Tectonics,Volcanics, and Glacial Features","Earth, Space & Environmental Sciences"
"Binkley","Ecology and Management of Forest Soils 5e","Earth, Space & Environmental Sciences"
"Moretti","Magma Redox Geochemistry","Earth, Space & Environmental Sciences"
"Tailleux","Fundamentals of Ocean Circulation and Climate","Earth, Space & Environmental Sciences"
"Weng","Techniques and Methods in Urban Remote Sensing","Earth, Space & Environmental Sciences"
"Pirrie","Applications of automated mineral analysis","Earth, Space & Environmental Sciences"
"Pujol","Fundamentals of inverse theory and parameter estim","Earth, Space & Environmental Sciences"
"Eslamian","Handbook of Water Harvesting and Conservation","Earth, Space & Environmental Sciences"
"Sumrall","Echinoderms: Paleobiology and Evolution","Earth, Space & Environmental Sciences"
"Katz","Nitrogen Overload: Environmental Degradation, Rami","Earth, Space & Environmental Sciences"
"Bre¤a-Naranjo","Tropical Hydrology: Processes and Patterns","Earth, Space & Environmental Sciences"
"Nakagawa","Core-Mantle Coevolution: A Multidisciplinary appro","Earth, Space & Environmental Sciences"
"Toney","Advances in Organic Biomarker Techniques for Paleo","Earth, Space & Environmental Sciences"
"Cheremisinoff","Carbon Treatment of Contaminated Water Supplies","Earth, Space & Environmental Sciences"
"Karamalidis","Sustainable Recovery of Rare Earth Elements","Earth, Space & Environmental Sciences"
"Matthies","Hydrometeorological Extreme Events and Public Heal","Earth, Space & Environmental Sciences"
"Dontsova","Biogeochemical Cycles: Ecological Drivers and Envi","Earth, Space & Environmental Sciences"
"Kulessa","Applied Geophysics in the Cryospheric Sciences","Earth, Space & Environmental Sciences"
"Kl?tzli","Radiometric in-situ Dating of Minerals, Rocks, and","Earth, Space & Environmental Sciences"
"Lorenz","Naturally Fractured Reservoirs","Earth, Space & Environmental Sciences"
"Waythomas","Volcano-Ice Interactions","Earth, Space & Environmental Sciences"
"Swart","The Geochemistry and Diagenesis of Carbonate Rocks","Earth, Space & Environmental Sciences"
"Mohriak","Salt Tectonics in Sedimentary Basins: Applications","Earth, Space & Environmental Sciences"
"La Jeunesse","Facing hydrometeorological extreme events: a gover","Earth, Space & Environmental Sciences"
" Marquardt","Mantle Convection and Surface Expressions","Earth, Space & Environmental Sciences"
"Grana","Integrated Seismic Reservoir Modeling","Earth, Space & Environmental Sciences"
"Taberham","Global Careers in Environmental Science: The World","Earth, Space & Environmental Sciences"
"Westaway","OSL Chronology: A Practical Guide for Geoarchaeolo","Earth, Space & Environmental Sciences"
"Dunlop","Chelicerate Paleobiology: claws through deep time","Earth, Space & Environmental Sciences"
"Cottet","River Restoration: Social and Policy Perspectivesf","Earth, Space & Environmental Sciences"
"Zhang","Space Physics and Aeronomy 5 volume print set","Earth, Space & Environmental Sciences"
"Hajdas","Radiocarbon: A tracer of past and present worlds","Earth, Space & Environmental Sciences"
"Nelson","An Introduction to River Modelling - A Multidimens","Earth, Space & Environmental Sciences"
"Li","Biogeochemistry: Scientific Fundamentals and Model","Earth, Space & Environmental Sciences"
"Paton","Structural Interpretation of Seismic Reflection Da","Earth, Space & Environmental Sciences"
"Cook","Glacial Sediment Transfer","Earth, Space & Environmental Sciences"
"Basile-Doelsch","Silicon Isotope Biogeochemistry","Earth, Space & Environmental Sciences"
"Lowe","Tephrochronology: Principles and Practice","Earth, Space & Environmental Sciences"
"Wood","Carbonate Reservoirs","Earth, Space & Environmental Sciences"
"Friedman","Ray-Finned Fishes","Earth, Space & Environmental Sciences"
"Myers","PaleoENM: quantifying the coevolution of the Earth","Earth, Space & Environmental Sciences"
"Akimoto","Atmospheric Multiphase Reaction Chemistry: Fundame","Earth, Space & Environmental Sciences"
"Ogata","Submarine landslides: subaqueous mass transport de","Earth, Space & Environmental Sciences"
"Williams","Human Health Effects and Toxicology of Nanoparticl","Earth, Space & Environmental Sciences"
"Faranda","Dynamical Systems Applications in Turbulent and Ge","Earth, Space & Environmental Sciences"
"Pearce","Elemental Chemostratigraphy","Earth, Space & Environmental Sciences"
"Kriwet","Chondrichthyan Fishes: Evolution of Super Predator","Earth, Space & Environmental Sciences"
"McPhaden","El Ni¤o Southern Oscillation and Climate Change","Earth, Space & Environmental Sciences"
"Krause","Ecohydrological Interfaces","Earth, Space & Environmental Sciences"
"Dewers","Shale: Subsurface Science and Engineering","Earth, Space & Environmental Sciences"
"Dorobek","Tectonic Controls on Carbonate Platform Evolution","Earth, Space & Environmental Sciences"
"Murthy","Terrestrial Atmosphere and Ionosphere: Physics and","Earth, Space & Environmental Sciences"
"John","A practical guide to carbonate clumped isotopes an","Earth, Space & Environmental Sciences"
"Lehning","Snow Science - Principles and Applications","Earth, Space & Environmental Sciences"
"Huang","Geophysical monitoring for geologic carbon storage","Earth, Space & Environmental Sciences"
"Mariani","Electron backscatter diffraction in the Earth Scie","Earth, Space & Environmental Sciences"
"Mottram","Cryospheric Processes in Climate Models","Earth, Space & Environmental Sciences"
"Large","British river structure and function: implications","Earth, Space & Environmental Sciences"
"Wohl","Rivers in the Landscape","Earth, Space & Environmental Sciences"
"Walker","Environmental Policy and Legislation: An Economic ","Earth, Space & Environmental Sciences"
"Budd","Cambrian explosion","Earth, Space & Environmental Sciences"
"Williams","Environmental Flow Assessment: Methods and Applica","Earth, Space & Environmental Sciences"
"Reid","The Wiley Handbook of Environmental Education","Earth, Space & Environmental Sciences"
"Reid","The Wiley Handbook of Environmental Education","Earth, Space & Environmental Sciences"
"Jerram","Metamorphic Rocks in the Field 2e","Earth, Space & Environmental Sciences"
"Hudson-Edwards","Environmental Minerals","Earth, Space & Environmental Sciences"
"Benitez-Nelson","Application of short-lived Thorium isotopes in Ear","Earth, Space & Environmental Sciences"
"Mehta","Decadal Climate Variability","Earth, Space & Environmental Sciences"
"Nicholson","Understanding debris-covered glaciers","Earth, Space & Environmental Sciences"
"Delson","Primate Phylogeny and Paleobiology","Earth, Space & Environmental Sciences"
"Gupta","An Introduction to Large Rivers","Earth, Space & Environmental Sciences"
"Harper","Brachiopod Paleobiology","Earth, Space & Environmental Sciences"
"Kondolf","Sustainable Sediment Management in Regulated River","Earth, Space & Environmental Sciences"
"Macklin","Rivers of Civilization","Earth, Space & Environmental Sciences"
"Yihdego","Groundwater Numerical Modeling: Conceptual model a","Earth, Space & Environmental Sciences"
"Golubchikov","Smart Cities, Energy and Climate: Governing Cities","Earth, Space & Environmental Sciences"
"Meakin","Unconventional Fossil Energy: Resources, Productio","Earth, Space & Environmental Sciences"
"Tedesco","Geophysics and Surface Geochemistry in Petroleum E","Earth, Space & Environmental Sciences"
"Radonjic","Natural and Engineered Barriers: Applications in G","Earth, Space & Environmental Sciences"
"Liu","Air Pollution Monitoring and Health Effect Analysi","Earth, Space & Environmental Sciences"
"Mukherjee","Extraterrestrial Remote Sensing and Climate Change","Earth, Space & Environmental Sciences"
"Banos","Agent-Based Spatial Simulation with NetLogo: Imple","Earth, Space & Environmental Sciences"
"Revil","Hydrogeophysics: Theory and Application","Earth, Space & Environmental Sciences"
"Hong","Remote Sensing and Natural Hazards","Earth, Space & Environmental Sciences"
"Ferrier","Handbook of Catchment Management 2e","Earth, Space & Environmental Sciences"
"Okland","Corinthians Through the Centuries","Humanities"
"Fiddes","Romans Through the Centuries","Humanities"
"Schacht","Nietzsche","Humanities"
"Dean","A Companion to Public History","Humanities"
"Milbank","Philosophy: A Theological Critique","Humanities"
"Sheldrake","Julian of Norwich: ""In God's Sight"" Her Theologyin","Humanities"
"Arp","Bad Arguments: 100 of the Most Important Fallacies","Humanities"
"Holleran","A Companion to the City of Rome","Humanities"
"Stockholder","Thinking About Shakespeare","Humanities"
"McGill","A Companion to Late Antique Literature","Humanities"
"Worger","A Companion to African History","Humanities"
"Edele","The Soviet Union : A Short History","Humanities"
"Grosjean","The Listening Bilingual: Speech Perception, Compre","Humanities"
"Lesser","History of the Book in Britain: An Introduction","Humanities"
"Croce","Connecting Virtues: Advances in Ethics, Epistemolo","Humanities"
"Markham","Do Morals Matter?: A Textbook Guide to Contemporar","Humanities"
"Lavelle","Archaic Greece: The Age of New Reckonings","Humanities"
"Bradford","A Companion to Literary Biography","Humanities"
"Larke-Walsh","A Companion to the Gangster Film","Humanities"
"Henriks?n","A Companion to Ancient Epigram","Humanities"
"Addis","Education and Expertise","Humanities"
"Vandorpe","A Companion to Greco-Roman and Late Antique Egypt","Humanities"
"Harrow","A Companion to African Cinema","Humanities"
"Gunter","A Companion to Ancient Near Eastern Art","Humanities"
"Norris","Systematically Working with Multimodal Data: Resea","Humanities"
"Atherton","Berkeley","Humanities"
"Cavanaugh","Wiley Blackwell Companion to Political Theology 2/","Humanities"
"Kendrick","A Companion to the Action Film","Humanities"
"Demolin","Evolution of Language and Speech","Humanities"
"Sobieszczanski","The Neurophysiological Hypothesis and the Processu","Humanities"
"Boxall","Matthew Through the Centuries","Humanities"
"Giles","American World Literature: An Introduction","Humanities"
"Denova","Greek and Roman Religions","Humanities"
"Chamoux","The Digital Era 3: Uses","Humanities"
"Dutton","Shakespeare's Theatre - A History","Humanities"
"Dutton","Shakespeare's Theatre - A History","Humanities"
"Cunningham","Life of Charles Dickens","Humanities"
"Cavadini","Visioning Augustine","Humanities"
"Shand","A Companion to Nineteenth Century Philosophy","Humanities"
"Worthen","The Life of Percy Bysshe Shelley: A Critical Biogr","Humanities"
"Eliot","New Companion to the History of the Book","Humanities"
"Segal","The Wiley-Blackwell Companion to the Study of Reli","Humanities"
"Schwieter","The Handbook of the Neuroscience of Multilingualis","Humanities"
"McNamara","Translation Theory and Practice: An Introduction","Humanities"
"Malachowski","A Companion to Rorty","Humanities"
"Narayanan","The Wiley Blackwell Companion to Material Religion","Humanities"
"Miller-McLemore","The Wiley Blackwell Reader in Practical Theology","Humanities"
"Chapelle","The Concise Encyclopedia of Applied Linguistics","Humanities"
"Buchanan","World War II in Global Perspective, 1931-1953: A S","Humanities"
"Collins","A Companion to Australian Cinema","Humanities"
"Hacker","Wittgenstein: Meaning and Mind (Volume 3 of an Ana","Humanities"
"Standish","Democracy and Education from Dewey to Cavell","Humanities"
"McClure","Women in Classical Antiquity: From Birth to Death","Humanities"
"Peterson","Contemporary Debates in Philosophy of Religion","Humanities"
"Brown","The Wiley Blackwell Companion to the Hadith","Humanities"
"Burwick","A History of Romantic Literature","Humanities"
"Schilbrack","The Wiley Blackwell Companion to Religious Diversi","Humanities"
"Allen","The Roman Republic and the Hellenistic Mediterrane","Humanities"
"White","Batman and Ethics","Humanities"
"Schweiker","Religious Ethics: Meaning and Method","Humanities"
"Janda","The Handbook of Historical Linguistics","Humanities"
"Groden","The Life of James Joyce","Humanities"
"Brooks","Global Justice: An Introduction","Humanities"
"Orlovsky","A Companion to the Russian Revolution","Humanities"
"Smith","This Is Modern Philosophy: An Introduction","Humanities"
"Hill","A Companion to British and Irish Cinema","Humanities"
"Nelson","Handbook of World Englishes","Humanities"
"Bolton","The Handbook of Asian Englishes","Humanities"
"Chatzikyriakidi","Formal Semantics in Modern Type Theories","Humanities"
"Manson","This Is Philosophy of Religion: An Introduction","Humanities"
"Ansell Pearson","Nietzsche's Dawn: Philosophy as a Way of Living","Humanities"
"de Oliveira","The Handbook of TESOL in K-12","Humanities"
"Windhausen","A Companion to Experimental Film","Humanities"
"Cook","Approaches to Poetry - 1900-2000","Humanities"
"Waibel","Western Civilization: A Brief History","Humanities"
"Littlejohn","This Is Epistemology: An Introduction","Humanities"
"Armstrong","A Companion to Translation of Classical Epic","Humanities"
"Middleton","Wiley Blackwell Concise Companion to Christian Mar","Humanities"
"Middleton","Wiley Blackwell Concise Companion to Christian Mar","Humanities"
"Kaizer","A Companion to the Hellenistic and Roman Near East","Humanities"
"Crystal","Dictionary of Linguistics and Phonetics 7e","Humanities"
"Mendoza-Denton","Homegirls: Language and Cultural Practice among La","Humanities"
"Saleh","Innovation in the Digital Age: Digital Tools and U","Humanities"
"Bokovoy","Yugoslavia: A History","Humanities"
"Treharne","Old and Middle English: An Anthology 4/e","Humanities"
"Spillers","The Idea of Black Culture","Humanities"
"Gigliotti","A Companion to the Holocaust","Humanities"
"Moore","Foundations of the Modern World","Humanities"
"Rhodes","Bioethics: The Fundamentals","Humanities"
"Adams","Wiley Blackwell Companion to Wisdom Literature","Humanities"
"Baron","The Herodotus Encyclopedia","Humanities"
"Neuman","How Women Won The Vote: A History of the 19th Amen","Humanities"
"Hayakawa","Receptivity and Human Agency","Humanities"
"Coakley","Broken Body","Humanities"
"Brooks","Political Philosophy - The Fundamentals","Humanities"
"Snell","A Companion to the Ancient Near East","Humanities"
"Schewel","Religion and European Society: A Primer","Humanities"
"Brice","New Approaches to Greco-Roman Warfare","Humanities"
"Brown","A New Companion to Chaucer","Humanities"
"Davis","Disney and Philosophy: Truth, Trust, and a Little ","Humanities"
"Jacobs","A Companion to the Achaemenid Persian Empire","Humanities"
"Caplan","The Israel-Palestine Conflict: Contested Histories","Humanities"
"Markham","The World Religions Reader 4th Edition","Humanities"
"Caferro","Teaching History","Humanities"
"Bradford","A Companion to Literary Evaluation","Humanities"
"Gordon","A Companion to Adorno","Humanities"
"Lockwood","The Life of Jonathan Swift","Humanities"
"Moneglia","The Language into Act Theory at Work","Humanities"
"Gillingham","Psalms Through the Centuries, Volume Three: A Rece","Humanities"
"Ramsay","Intersectionality","Humanities"
"Burke","Wiley Blackwell Companion to Frederico Fellini","Humanities"
"Majumdar","A Companion to Indian Cinema","Humanities"
"Seigneurie","A Companion to World Literature","Humanities"
"Seigneurie","A Companion to World Literature","Humanities"
"Hollander","A Companion to Ancient Agriculture","Humanities"
"George","A Companion to African Literatures","Humanities"
"George","A Companion to African Literatures","Humanities"
"Cox","A Companion to the Cold War","Humanities"
"Flood","Wiley Blackwell Companion to Hinduism","Humanities"
"Pag n","Tacitus Encyclopedia","Humanities"
"Lee-Stecum","A Companion to the Augustan Age, 27 BCE - 14 CE","Humanities"
"Rabinowitz","A Social and Cultural History of Archaic Greece","Humanities"
"Beezley","A History of Modern Latin America in Ten Objects: ","Humanities"
"Waller","Dictionary of British and Irish History","Humanities"
"Hickey","Sounds of English Worldwide","Humanities"
"Callaghan","Reading Shakespeare's Poetry","Humanities"
"Raud","Asian Worldviews: Religions, Philosophies, Politic","Humanities"
"Nygaard","The Handbook of Speech Perception 2e","Humanities"
"B?ranger","The Algorithmic Code of Ethics: Ethics at Bedsideo","Humanities"
"Millot","Embarrassment of Product Choices","Humanities"
"Martinot","Reformulation and Acquisition of Linguistic Comple","Humanities"
"Metzger","Discourse oBook","Humanities"
"Hoecker","Feminist Tradition in Sociology","Humanities"
"Aarts","The Handbook of English Linguistics, 2nd Edition","Humanities"
"Desser","A Companion to Japanese Cinema","Humanities"
"Staley","A Companion to Digital History","Humanities"
"Buchenau","Mexican Mosaic: A Brief History of Mexico","Humanities"
"Kirk","The Civil Rights Movement: A Documentary Reader","Humanities"
"Hacker","Wittgenstein: Meaning and Mind (Volume 3 of an Ana","Humanities"
"Freedman","The Life of Henry James","Humanities"
"Saab","Wiley Blackwell Companion to Visual Culture","Humanities"
"Worland","Hollywood Movies of the 1970s: Renaissance and Ret","Humanities"
"Alexander","Early Writing of Charlotte Bronte 1837-40","Humanities"
"Phan","Christian Theologies in Asia: A Comprehensive Intr","Humanities"
"Curtis","Greek and Latin Roots of Medical and Scientific Te","Humanities"
"Hitchcock","A Companion to Aegean Art and Architecture","Humanities"
"Whately","The Roman Military: From Marius to Theodosius II,1","Humanities"
"Tollerton","Job Through the Centuries","Humanities"
"Look","Early Modern Philosophy: The Fundamentals","Humanities"
"Naples","Companion to Feminist Studies","Humanities"
"Naples","Companion to Gender Studies","Humanities"
"Naples","Companion to Sexuality Studies","Humanities"
"Frommer","Czechoslavakia: 1918 to the Present","Humanities"
"Lewis","Mexico Since 1940: The Unscripted Revolution","Humanities"
"Speelman","Mastering Corpus Linguistics Methods: A Practical ","Humanities"
"Callaway","Jeremiah Through the Centuries","Humanities"
"Hasselbach","A Companion to Ancient Near Eastern Languages","Humanities"
"Hickey","The Handbook of Language Contact","Humanities"
"Bendixen","Blackwell History of American Literature 1865-1914","Humanities"
"Skaggs","1, 2 Peter and Jude Through the Centuries","Humanities"
"Bunton","The Contemporary Middle East and North Africa","Humanities"
"Jacquemet","Transidioma: Language and Power in the Age of Glob","Humanities"
"Schweiker","Encyclopedia of Religious Ethics 3 vol set","Humanities"
"Tallman","Saturday Night Live and Philosophy","Humanities"
"Milbank","The Gift Exchanged: The Gift in Religion","Humanities"
"Campbell","A Companion to Free Will","Humanities"
"Coats","A Companion to Children's Literature","Humanities"
"Johnson","30 Great Myths about Jane Austen","Humanities"
"Stone","The Wiley Blackwell Companion to Race, Ethnicity,a","Humanities"
"Gold","A Guide to Latin Elegy and Lyric","Humanities"
"Kessler","A Companion to Jews and Judaism in the Late Ancien","Humanities"
"Crawford","What is African American Literature?","Humanities"
"Melamed","A Companion to Spinoza","Humanities"
"Kripke","Naming and Necessity, Second Edition","Humanities"
"Bryant","Herman Melville: The Biography of a Half Known Lif","Humanities"
"Sidtis","Foundations of Formulaic Language","Humanities"
"Hitchner","A Companion to North Africa in Antiquity","Humanities"
"Lussier","Wiley-Blackwell Encyclopedia of Romantic Writers a","Humanities"
"Nooter","A Guide to Ancient Greek Poetry","Humanities"
"Sabor","Life of Jane Austen","Humanities"
"Suri","American Narratives: An Introductory Historiograph","Humanities"
"Joubin","A Companion to Global Shakespeares","Humanities"
"Mitchell","Wiley Blackwell Companion to Religion and Peace","Humanities"
"Sidhom","Digital Humanities in Knowledge Management","Humanities"
"Burian","A Companion to Aeschylus","Humanities"
"Green","A Companion to Abraham Lincoln","Humanities"
"MacGowan","History of American Literature 1900-1950","Humanities"
"Zuiderhoek","A Companion to Cities in the Greco-Roman World","Humanities"
"De Angelis","A Companion to Greeks Across the Ancient World","Humanities"
"Platte","A Brief Introduction to Latin and Greek Historical","Humanities"
"Ross","The World of Early Modern Europe, 1450-1789: Socie","Humanities"
"Dutsch","A Companion to Plautus","Humanities"
"Bilby","Luke Through the Centuries","Humanities"
"Hullar","The United States: A Brief Narrative History","Humanities"
"Heckel","A Companion to Greek Warfare","Humanities"
"Geivett","Dictionary of Christian Apologists and their Criti","Humanities"
"Fratantuono","A Companion to Latin Epic, ca. 14-96 CE","Humanities"
"Erskine-Hill","The Life of Alexander Pope","Humanities"
"Chesnutt","The Wiley Blackwell Companion to the Old Testament","Humanities"
"Edwell","A Companion to Rome and Persia, 96 BCE-651 CE","Humanities"
"Gortschacher","A Companion to Contemporary British and Irish Poet","Humanities"
"Waldron","The Chinese: Historical Origins of Their Present","Humanities"
"Lott","Roman Inscriptions: Historical Sources in Translat","Humanities"
"Reichard","The New Civil Rights Revolution: The Quest for Sam","Humanities"
"Schoenfeldt","Reading Seventeenth-Century Poetry","Humanities"
"Birch","The Life of Charlotte Bronte","Humanities"
"Swift","A Companion to Greek Lyric","Humanities"
"McCreight","The Ancient Novel","Humanities"
"Malitsky","A Companion to Documentary Film History","Humanities"
"Jonas","The Handbook of Germanic Linguistics","Humanities"
"Goehr","A Companion to Arthur C. Danto","Humanities"
"Olson","The Ethnic Dimension in American History","Humanities"
"Rouse","Reading Medieval Poetry","Humanities"
"Bermann","Comparative Literature: An Introduction","Humanities"
"Bommas","A Companion to Ancient Egyptian Religion","Humanities"
"Woolmer","A Companion to Ancient Phoenicia","Humanities"
"Brigham","U.S. Foreign Policy Since 1945","Humanities"
"Tiemeyer","Jonah Through the Centuries","Humanities"
"Cornell","The Wiley Blackwell Companion to Islamic Spiritual","Humanities"
"Haas","All in the Game: American Sports and Society since","Humanities"
"Feldherr","After the Past: Sallust on History and Writing His","Humanities"
"Forsdyke","A Companion to Classical Athens","Humanities"
"Warren","American Environmental History, Second Edition","Humanities"
"Meade","A Companion to Global Gender History, Second Editi","Humanities"
"Adams","The Wiley-Blackwell Companion to Christianity","Humanities"
"Adams","The Wiley-Blackwell Companion to Christianity","Humanities"
"McGowan","A History of the English Language","Humanities"
"Brown","Reader's History of English Literature","Humanities"
"Joynes","Mark Through the Centuries","Humanities"
"Hawkins IV","Divine Spaces: An Introduction to Sacred Places an","Humanities"
"Bennett","Philosophical Foundations of Neuroscience, Second ","Humanities"
"Phillips","A History of the Athenian Empire","Humanities"
"Morton","The Spivak Dictionary","Humanities"
"Moore","How to Study the New Testament","Humanities"
"Jesch","The Wiley-Blackwell Encyclopedia of the Viking Wor","Humanities"
"Robertson","Middle English Keywords","Humanities"
"Wark","Spy Power: A History of Modern Espionage","Humanities"
"Klee","International Construction Contract Law 2e","Law & Criminology"
